Date,DXY,VIX,US10Y,SP500,NASDAQ,DOW
2016-10-19 05:00:00+00:00,97.87000274658203,14.40999984741211,1.7519999742507935,2144.2900390625,5246.41015625,18202.619140625
2016-10-20 04:00:00+00:00,98.31999969482422,14.40999984741211,1.7519999742507935,2141.340087890625,5241.830078125,18162.349609375
2016-10-20 05:00:00+00:00,98.31999969482422,13.75,1.746999979019165,2141.340087890625,5241.830078125,18162.349609375
2016-10-21 04:00:00+00:00,98.69999694824219,13.75,1.746999979019165,2141.159912109375,5257.39990234375,18145.7109375
2016-10-21 05:00:00+00:00,98.69999694824219,13.34000015258789,1.7400000095367432,2141.159912109375,5257.39990234375,18145.7109375
2016-10-24 04:00:00+00:00,98.66999816894531,13.34000015258789,1.7400000095367432,2151.330078125,5309.830078125,18223.029296875
2016-10-24 05:00:00+00:00,98.66999816894531,13.020000457763672,1.7630000114440918,2151.330078125,5309.830078125,18223.029296875
2016-10-25 04:00:00+00:00,98.72000122070312,13.020000457763672,1.7630000114440918,2143.159912109375,5283.39990234375,18169.26953125
2016-10-25 05:00:00+00:00,98.72000122070312,13.460000038146973,1.7580000162124634,2143.159912109375,5283.39990234375,18169.26953125
2016-10-26 04:00:00+00:00,98.62999725341797,13.460000038146973,1.7580000162124634,2139.429931640625,5250.27001953125,18199.330078125
2016-10-26 05:00:00+00:00,98.62999725341797,14.239999771118164,1.7899999618530273,2139.429931640625,5250.27001953125,18199.330078125
2016-10-27 04:00:00+00:00,98.88999938964844,14.239999771118164,1.7899999618530273,2133.0400390625,5215.97021484375,18169.6796875
2016-10-27 05:00:00+00:00,98.88999938964844,15.359999656677246,1.843000054359436,2133.0400390625,5215.97021484375,18169.6796875
2016-10-28 04:00:00+00:00,98.3499984741211,15.359999656677246,1.843000054359436,2126.409912109375,5190.10009765625,18161.189453125
2016-10-28 05:00:00+00:00,98.3499984741211,16.190000534057617,1.8450000286102295,2126.409912109375,5190.10009765625,18161.189453125
2016-10-31 04:00:00+00:00,98.44999694824219,16.190000534057617,1.8450000286102295,2126.14990234375,5189.14013671875,18142.419921875
2016-10-31 05:00:00+00:00,98.44999694824219,17.059999465942383,1.8339999914169312,2126.14990234375,5189.14013671875,18142.419921875
2016-11-01 04:00:00+00:00,97.69999694824219,17.059999465942383,1.8339999914169312,2111.719970703125,5153.580078125,18037.099609375
2016-11-01 05:00:00+00:00,97.69999694824219,18.559999465942383,1.8200000524520874,2111.719970703125,5153.580078125,18037.099609375
2016-11-02 04:00:00+00:00,97.4000015258789,18.559999465942383,1.8200000524520874,2097.93994140625,5105.56982421875,17959.640625
2016-11-02 05:00:00+00:00,97.4000015258789,19.31999969482422,1.7990000247955322,2097.93994140625,5105.56982421875,17959.640625
2016-11-03 04:00:00+00:00,97.16000366210938,19.31999969482422,1.7990000247955322,2088.659912109375,5058.41015625,17930.669921875
2016-11-03 05:00:00+00:00,97.16000366210938,22.079999923706055,1.812000036239624,2088.659912109375,5058.41015625,17930.669921875
2016-11-04 04:00:00+00:00,97.06999969482422,22.079999923706055,1.812000036239624,2085.179931640625,5046.3701171875,17888.279296875
2016-11-04 05:00:00+00:00,97.06999969482422,22.510000228881836,1.7829999923706055,2085.179931640625,5046.3701171875,17888.279296875
2016-11-07 05:00:00+00:00,97.77999877929688,22.510000228881836,1.7829999923706055,2131.52001953125,5166.169921875,18259.599609375
2016-11-07 06:00:00+00:00,97.77999877929688,18.709999084472656,1.8279999494552612,2131.52001953125,5166.169921875,18259.599609375
2016-11-08 05:00:00+00:00,97.86000061035156,18.709999084472656,1.8279999494552612,2139.56005859375,5193.490234375,18332.740234375
2016-11-08 06:00:00+00:00,97.86000061035156,18.739999771118164,1.8619999885559082,2139.56005859375,5193.490234375,18332.740234375
2016-11-09 05:00:00+00:00,98.5,18.739999771118164,1.8619999885559082,2163.260009765625,5251.06982421875,18589.689453125
2016-11-09 06:00:00+00:00,98.5,14.380000114440918,2.072000026702881,2163.260009765625,5251.06982421875,18589.689453125
2016-11-10 05:00:00+00:00,98.79000091552734,14.380000114440918,2.072000026702881,2167.47998046875,5208.7998046875,18807.880859375
2016-11-10 06:00:00+00:00,98.79000091552734,14.739999771118164,2.117000102996826,2167.47998046875,5208.7998046875,18807.880859375
2016-11-11 05:00:00+00:00,98.79000091552734,14.739999771118164,2.117000102996826,2164.449951171875,5237.10986328125,18847.66015625
2016-11-11 06:00:00+00:00,98.79000091552734,14.170000076293945,2.117000102996826,2164.449951171875,5237.10986328125,18847.66015625
2016-11-14 05:00:00+00:00,100.11000061035156,14.170000076293945,2.117000102996826,2164.199951171875,5218.39990234375,18868.689453125
2016-11-14 06:00:00+00:00,100.11000061035156,14.479999542236328,2.2219998836517334,2164.199951171875,5218.39990234375,18868.689453125
2016-11-15 05:00:00+00:00,100.19000244140625,14.479999542236328,2.2219998836517334,2180.389892578125,5275.6201171875,18923.060546875
2016-11-15 06:00:00+00:00,100.19000244140625,13.369999885559082,2.23799991607666,2180.389892578125,5275.6201171875,18923.060546875
2016-11-16 05:00:00+00:00,100.41000366210938,13.369999885559082,2.23799991607666,2176.93994140625,5294.580078125,18868.140625
2016-11-16 06:00:00+00:00,100.41000366210938,13.720000267028809,2.2230000495910645,2176.93994140625,5294.580078125,18868.140625
2016-11-17 05:00:00+00:00,100.88999938964844,13.720000267028809,2.2230000495910645,2187.1201171875,5333.97021484375,18903.8203125
2016-11-17 06:00:00+00:00,100.88999938964844,13.350000381469727,2.2760000228881836,2187.1201171875,5333.97021484375,18903.8203125
2016-11-18 05:00:00+00:00,101.20999908447266,13.350000381469727,2.2760000228881836,2181.89990234375,5321.509765625,18867.9296875
2016-11-18 06:00:00+00:00,101.20999908447266,12.850000381469727,2.3350000381469727,2181.89990234375,5321.509765625,18867.9296875
2016-11-21 05:00:00+00:00,101.05000305175781,12.850000381469727,2.3350000381469727,2198.179931640625,5368.85986328125,18956.689453125
2016-11-21 06:00:00+00:00,101.05000305175781,12.420000076293945,2.3389999866485596,2198.179931640625,5368.85986328125,18956.689453125
2016-11-22 05:00:00+00:00,101.04000091552734,12.420000076293945,2.3389999866485596,2202.93994140625,5386.35009765625,19023.869140625
2016-11-22 06:00:00+00:00,101.04000091552734,12.40999984741211,2.321000099182129,2202.93994140625,5386.35009765625,19023.869140625
2016-11-23 05:00:00+00:00,101.69999694824219,12.40999984741211,2.321000099182129,2204.719970703125,5380.68017578125,19083.1796875
